longitude,latitude,month,month_name
-97.22272,27.620572,10,10 October
-96.8014,28.310547,10,10 October
-97.285402,27.668905,10,10 October
-97.328265,28.243793,10,10 October
-96.867178,28.342756,10,10 October
-97.222712,27.620573,10,10 October
-97.222708,27.620579,10,10 October
-97.374776,32.578835,10,10 October
-95.166255,29.958467,10,10 October
-97.389097,28.655952,10,10 October
-97.285402,27.66891,10,10 October
-97.285326,27.669032,10,10 October
-97.222705,27.620585,10,10 October
-97.877677,28.066062,10,10 October
-100.514067,21.295522,10,10 October
-97.267512,30.256732,10,10 October
-87.471161,36.026978,10,10 October
-97.268026,30.255490000000002,10,10 October
-97.384367,30.350108,10,10 October
-97.648729,30.411801,10,10 October
-80.634125,43.441003,10,10 October
-97.547129,30.35052,10,10 October
-94.686378,29.752496,10,10 October
-95.445248,30.808723,10,10 October
-95.728239,30.637563,10,10 October
-95.445246,30.808715,10,10 October
-80.144485,26.380562,10,10 October
-97.285328,27.669035,11,11 November
-97.758536,30.417972,11,11 November
-75.445717,40.126192,11,11 November
-98.114081,30.198592,11,11 November
-97.466575,35.216938,11,11 November
-97.22271,27.620592,11,11 November
-94.958188,29.424726,11,11 November
-97.320488,20.43877,11,11 November
-97.454322,27.586869,11,11 November
-97.222692,27.620594,11,11 November
-73.984401,40.65647,11,11 November
-95.42,29.043,11,11 November
-97.328791,27.669287,11,11 November
-97.328811,27.669369,11,11 November
-98.135644,26.08228,11,11 November
-97.547376,30.350362,11,11 November
-98.37628,26.185045,11,11 November
-97.385151,30.347637,11,11 November
-97.222714,27.620572,11,11 November
-97.32917,27.669241,11,11 November
-97.454546,27.587551,11,11 November
-99.150774,26.576709,11,11 November
-97.221136,27.624802,11,11 November
-94.958199,29.424719,11,11 November
-97.285337,27.669043,11,11 November
-97.047534,28.05322,11,11 November
-82.6054,29.682153,11,11 November
-97.957747,26.126278,12,12 December
-95.42,29.043,12,12 December
-97.731505,30.489463,12,12 December
-100.579551,25.796431,12,12 December
-97.027645,32.964074,12,12 December
-98.347083,26.337671,12,12 December
-103.191361,20.323247,12,12 December
-94.958237,29.424667,12,12 December
-95.10009,29.416342,12,12 December
-100.388111,20.522189,12,12 December
-95.42,29.043,12,12 December
-96.503367,16.168736,12,12 December
-95.419511,29.042716,2,02 February
-97.489062,30.22136,2,02 February
-97.222717,27.620563,4,04 April
-95.419511,29.042716,4,04 April
-97.222693,27.620551,4,04 April
-95.419511,29.042716,5,05 May
-82.531944,28.097329,5,05 May
-86.158544,34.205683,6,06 June
-95.419511,29.042716,6,06 June
-60.9355,14.54838,6,06 June
-97.758536,30.417972,6,06 June
-95.419511,29.042716,7,07 July
-86.158544,34.205652,7,07 July
-101.961397,33.530569,7,07 July
-89.212102,31.323131,7,07 July
-102.120696,31.963694,7,07 July
-97.758536,30.417972,7,07 July
-87.569173,33.209841,7,07 July
-87.569173,33.209841,7,07 July
-87.569173,33.209841,7,07 July
-101.783764,33.484389,7,07 July
-97.758582,30.417953,7,07 July
-101.681793,33.535564,7,07 July
-87.563072,33.214652,7,07 July
-87.561195,33.213143,7,07 July
-87.559722,33.215278,7,07 July
-87.484475,33.262255,7,07 July
-98.114143,30.198654,8,08 August
-97.648708,30.411799,8,08 August
-95.419511,29.042716,8,08 August
-86.158544,34.205652,8,08 August
-99.345972,18.574502,8,08 August
-95.597769,29.380101,8,08 August
-79.952499,40.429443,8,08 August
-98.208357,28.028563,8,08 August
-97.67055,27.860019,8,08 August
-98.114178,30.198622,8,08 August
-98.208355,28.028564,8,08 August
-97.04753,28.053274,8,08 August
-97.047546,28.053271,8,08 August
-98.208346,28.028577,8,08 August
-98.208356,28.028562,8,08 August
-97.047485,28.053276,8,08 August
-97.047548,28.053276,8,08 August
-97.047478,28.05327,8,08 August
-96.774154,32.814035,8,08 August
-101.903276,33.560553,8,08 August
-101.8578,33.587672,8,08 August
-92.348142,30.582983,8,08 August
-82.238657,29.668275,8,08 August
-88.455304,41.579154,8,08 August
-64.618661,46.389245,8,08 August
-64.618661,46.389245,8,08 August
-94.301601,35.325647,8,08 August
-64.618661,46.389245,8,08 August
-83.888606,32.849163,8,08 August
-93.226753,31.040918,8,08 August
-88.027481,42.347301,8,08 August
-65.57753,43.495353,8,08 August
-86.457811,32.55936,8,08 August
-82.370711,35.544511,8,08 August
-97.670547,27.860028,9,09 September
-97.285378,27.668987,9,09 September
-95.419511,29.042716,9,09 September
-98.208342,28.028556,9,09 September
-98.11416,30.198629,9,09 September
-97.384357,30.350097,9,09 September
-97.547221,30.350124,9,09 September
-98.23515,31.63693,9,09 September
-97.112465,32.792535,9,09 September
-60.537369,46.886274,9,09 September
-97.285326,27.669062,9,09 September
-97.28541,27.668918,9,09 September
-96.667349,32.848225,9,09 September
-97.255918,32.883679,9,09 September
-96.628546,32.906786,9,09 September
-97.032191,32.617267,9,09 September
-97.289746,32.671116,9,09 September
-98.109364,32.246969,9,09 September
-97.297714,32.928185,9,09 September
-96.709,33.448383,9,09 September
-97.26461,32.885017,9,09 September
-97.14898,32.906547,9,09 September
-93.85322,30.17872,9,09 September
-95.051636,29.780822,9,09 September
-96.131099,33.471805,9,09 September
-97.149147,32.741408,9,09 September
-97.399744,32.857554,9,09 September
-97.285553,27.668716,9,09 September
-97.285412,27.668936,9,09 September
-95.581917,29.781637,9,09 September
-79.952499,40.429443,9,09 September
-96.786316,33.079914,9,09 September
-97.374777,32.770998,9,09 September
-97.417224,32.778879,9,09 September
-97.604927,33.213009,9,09 September
-97.573975,30.887895,9,09 September
-96.726914,32.818416,9,09 September
-98.085811,30.191794,9,09 September
-97.016002,32.311748,9,09 September
-97.290655,32.670616,9,09 September
-98.615067,29.573833,9,09 September
-94.75467,32.500715,9,09 September
-95.149342,31.596605,9,09 September
-97.82698,30.244878,9,09 September
-97.146019,33.023495,9,09 September
-92.344435,34.567821,9,09 September
-98.205612,33.814428,9,09 September
-97.1455,33.0237,9,09 September
-97.102883,32.716217,9,09 September
-97.882055,28.061278,9,09 September
-98.114153,30.198653,9,09 September
-96.975407,33.065697,9,09 September
-97.612299,30.559707,9,09 September
-97.198748,33.171554,9,09 September
-95.419511,29.042716,9,09 September
-97.402463,32.61077,9,09 September
-98.114163,30.19864,9,09 September
-97.104,32.587027,9,09 September
-97.642052,31.609982,9,09 September
-97.66036,31.615653,9,09 September
-97.66119,31.615447,9,09 September
-97.232633,32.9631,9,09 September
-97.232633,32.9631,9,09 September
-97.232633,32.9631,9,09 September
-97.608581,31.813865,9,09 September
-97.232239,32.960151,9,09 September
-97.881891,28.061049,9,09 September
-96.654514,32.962996,9,09 September
-97.373827,32.774538,9,09 September
-80.763281,35.140802,9,09 September
-97.222726,27.620565,9,09 September
-97.229978,32.960627,9,09 September
-97.232525999999993,32.960414,9,09 September
-97.222717,27.620555,9,09 September
-97.2227,27.62057,9,09 September
-97.648775,30.411866,9,09 September
-97.6487,30.411829,9,09 September
-96.630747,32.921823,9,09 September
-97.582028,30.247063,9,09 September
-97.648743,30.411792,9,09 September
-98.248125,31.633857,9,09 September
-97.232472,32.959903,9,09 September
-76.752556,39.025866,9,09 September
-76.79802,39.098113,9,09 September
-87.20931,37.304613,9,09 September
-77.912268,45.038609,9,09 September
-97.42499,35.237385,9,09 September
-97.42499,35.237385,9,09 September
-84.500845,39.155265,9,09 September
-76.710649,39.154722,9,09 September
-64.618661,46.389245,9,09 September
-97.648729,30.411806,9,09 September
-80.540355,51.606666,9,09 September
-79.480591,43.742081,9,09 September
-94.301601,35.325647,9,09 September
-94.301601,35.325647,9,09 September
-84.53762,44.90001,9,09 September
-86.66532,46.2247,9,09 September
-84.25305,44.75447,9,09 September
-90.66196,43.95947,9,09 September
-97.285518,27.668781,9,09 September
-97.097778,33.016389,9,09 September
-76.635377,39.032765,9,09 September
-78.14225,33.914858,9,09 September
-97.245003,32.935276,10,10 October
-97.274986,32.883352,10,10 October
-97.22271,27.620541,10,10 October
-97.585688,31.791252,10,10 October
-98.11417,30.198651,10,10 October
-98.379229,28.425423,10,10 October
-97.05827,33.258938,10,10 October
-97.481863,32.847855,10,10 October
-97.0601,33.263898,10,10 October
-95.765534,29.806641,10,10 October
-97.289418,32.668711,10,10 October
-97.3403,30.116129,10,10 October
-97.340303,30.116123,10,10 October
-97.340304,30.116128,10,10 October
-97.034938,33.088717,10,10 October
-96.940024,32.824515,10,10 October
-96.381248,30.624959,10,10 October
-97.375803,32.762283,10,10 October
-96.989051,33.061996,10,10 October
-96.98836,33.061748,10,10 October
-96.988802,33.06213,10,10 October
-96.521331,33.033531,10,10 October
-97.326718,27.70934,10,10 October
-97.222724,27.620564,10,10 October
-97.222717,27.620546,10,10 October
-97.222725,27.620549,10,10 October
-97.308115,32.673845,10,10 October
-96.681404,32.892728,10,10 October
-101.961912,33.529424,10,10 October
-97.109143,33.242819,10,10 October
-97.305,30.837444,10,10 October
-97.192511,32.752335,10,10 October
-97.37475,32.774612,10,10 October
-78.494099,45.046804,10,10 October
-96.858403,32.859669,10,10 October
-94.725943,32.509043,10,10 October
-96.988871,33.061989,10,10 October
-96.587845,32.795674,10,10 October
-97.340298,30.116115,10,10 October
-79.557203,40.704681,10,10 October
-96.801494,28.310584,10,10 October
-78.494093,45.046815,10,10 October
-97.222721,27.620552,10,10 October
-97.648753,30.411862,10,10 October
-98.390594,33.757385,10,10 October
-98.558368,33.847436,10,10 October
-96.747455,32.892427,10,10 October
-96.748027,32.892815,10,10 October
-96.971224,32.613819,10,10 October
-95.714958,29.642758,10,10 October
-97.841583,30.427789,10,10 October
-97.758536,30.417972,10,10 October
-97.340238,30.115878,10,10 October
-97.886488,30.208739,10,10 October
-97.827018,30.245044,10,10 October
-97.617947,30.566008,10,10 October
-97.645333,30.234993,10,10 October
-97.849862,30.161978,10,10 October
-96.953337,33.070317,10,10 October
-98.257137,30.30792,10,10 October
-97.611795,30.560595,10,10 October
-97.221673,27.60141,10,10 October
-95.260379,31.824228,10,10 October
-98.208325,28.028644,10,10 October
-97.28484,27.474273,10,10 October
-97.221681,27.601411,10,10 October
-97.328794,27.66928,10,10 October
-97.894226,30.337148,10,10 October
-97.222722,27.620561,10,10 October
-97.684772,30.648511,10,10 October
-97.222721,27.620561,10,10 October
-98.399034,28.42526,10,10 October
-97.222743,27.6206,10,10 October
-97.192497,32.752598,10,10 October
-80.768525,35.20572,10,10 October
-101.80567,33.55129,10,10 October
-97.414229,30.250332,10,10 October
-76.774773,39.12755,10,10 October
-76.722105,39.128366,10,10 October
-76.642918,39.009333,10,10 October
-98.582072,27.91447,10,10 October
-97.383686,30.349426,10,10 October
-102.069932,30.856016,10,10 October
-100.650276,30.578324,10,10 October
-97.650583,30.216717,10,10 October
-96.79598,32.885613,10,10 October
-97.532993,30.347828,10,10 October
-97.383759,30.349443,10,10 October
-97.140643,33.725366,10,10 October
-97.140646,33.725366,10,10 October
-97.547326,30.35019,10,10 October
-78.848834,43.939258,10,10 October
-95.765534,29.806641,10,10 October
-96.776192,30.082405,10,10 October
-97.696183,30.442791,10,10 October
-98.286564,32.164372,10,10 October
-97.222715,27.620566,10,10 October
-97.650703,30.216703,10,10 October
-72.238615,42.300221,10,10 October
-88.138146,30.381033,10,10 October
-88.138098,30.380987,10,10 October
-64.771904,45.469319,10,10 October
-78.639103,45.548712,10,10 October
-94.301601,35.325647,10,10 October
-87.71923,41.957133,10,10 October
-97.84713,30.182628,10,10 October
-80.896409,34.161908,10,10 October
-96.747442,32.892295,10,10 October
-97.585784,31.791621,10,10 October
-98.425921,30.103837,10,10 October
-97.145714,33.023586,10,10 October
-97.340773,30.116113,10,10 October
-97.340302,30.1161,10,10 October
-97.340274,30.116146,10,10 October
-97.340302,30.1161,10,10 October
-97.329206,27.669287,11,11 November
-97.328756,27.669298,11,11 November
-97.328761,27.669294,11,11 November
-97.22272,27.620564,11,11 November
-97.437622,27.572026,11,11 November
-97.437631,27.572036,11,11 November
-97.222728,27.620556,11,11 November
-97.222716,27.620561,11,11 November
-97.328853,27.669366,11,11 November
-97.100868,32.58746,11,11 November
-97.222718,27.620572,11,11 November
-98.114147,30.198638,11,11 November
-97.585236,31.791729,11,11 November
-98.337284,29.477985,11,11 November
-96.997371,32.612554,11,11 November
-99.150761,26.576725,11,11 November
-97.222718,27.620561,11,11 November
-99.150772,26.576717,11,11 November
-98.366463,26.179795,11,11 November
-98.114081,30.198592,11,11 November
-98.366463,26.179795,11,11 November
-97.222716,27.620567,11,11 November
-98.241773,29.525484,11,11 November
-98.379713,26.18571,11,11 November
-97.758536,30.417972,11,11 November
-97.328679,27.711997,11,11 November
-97.328769,27.669295,11,11 November
-97.222709,27.620564,11,11 November
-97.047493,28.053274,11,11 November
-97.047502,28.053271,11,11 November
-97.222716,27.620563,11,11 November
-97.882775,28.066969,11,11 November
-97.882737,28.06694,11,11 November
-97.328897,27.669338,11,11 November
-97.285434,27.668882,11,11 November
-97.328986,27.669321,11,11 November
-97.826985,30.244882,11,11 November
-97.222711,27.620558,11,11 November
-97.758536,30.417972,11,11 November
-97.222721,27.62056,11,11 November
-97.328929,27.669638,11,11 November
-97.22272,27.620569,11,11 November
-97.222722,27.620549,11,11 November
-97.222723,27.620561,11,11 November
-97.547208,30.350126,11,11 November
-97.533114,30.348912,11,11 November
-97.685379,30.503117,11,11 November
-97.383688,30.349428,11,11 November
-97.047473,28.053262,11,11 November
-97.047462,28.053196,11,11 November
-98.571415,29.42372,11,11 November
-98.312046,29.470558,11,11 November
-97.648743,30.411838,11,11 November
-97.91749,30.233492,11,11 November
-73.982918,40.696973,11,11 November
-97.222714,27.620555,12,12 December
-95.481918,30.352339,12,12 December
-97.3048,30.837934,12,12 December
-97.328821,27.669384,12,12 December
-97.329166,27.669233,12,12 December
-97.758536,30.417972,12,12 December
-97.694939,30.428733,12,12 December
-97.547108,30.350241,12,12 December
-97.548671,30.541552,12,12 December
-97.437657,27.572054,12,12 December
-97.285561,27.668641,12,12 December
-97.437661,27.572058,12,12 December
-97.648937,30.41188,12,12 December
-98.28158,29.277216,12,12 December
-97.53308,30.348841,12,12 December
-97.533038,30.348844,12,12 December
-97.767953,30.259628,12,12 December
-81.35865,28.526808,12,12 December
-81.358703,28.526758,12,12 December
-80.144452,26.380272,12,12 December
-95.419722,29.0425,3,03 March
-99.180408,19.324549,3,03 March
-99.789,29.235855,5,05 May
-93.998056,34.462778,6,06 June
-97.826965,30.244813,7,07 July
-96.854251,32.92894,7,07 July
-81.517525,28.101273,7,07 July
-96.854158,32.928989,7,07 July
-97.758536,30.417972,7,07 July
-86.158552,34.205664,8,08 August
-97.167805,32.672139,8,08 August
-97.886644,30.209025,8,08 August
-97.466903,35.217095,8,08 August
-90.269464,38.556096,8,08 August
-86.158552,34.205664,8,08 August
-97.703514,30.527036,8,08 August
-97.758536,30.417972,8,08 August
-88.462937,41.855661,8,08 August
-97.012944,33.130018,8,08 August
-90.542065,38.947347,8,08 August
-64.596561,48.379401,8,08 August
-99.789,29.235855,8,08 August
-99.789,29.235855,8,08 August
-101.96247,33.530282,8,08 August
-99.789,29.235855,8,08 August
-79.806232,32.851528,8,08 August
-97.758536,30.417972,9,09 September
-97.886585,30.20875,9,09 September
-97.758536,30.417972,9,09 September
-97.374934,32.774598,9,09 September
-97.600456,35.590516,9,09 September
-86.158552,34.205664,9,09 September
-101.961912,33.531213,9,09 September
-101.961458,33.529363,9,09 September
-72.525512,43.13232,9,09 September
-96.843654,32.339638,9,09 September
-86.158552,34.205664,9,09 September
-97.440103,35.18973,9,09 September
-97.074254,33.021123,9,09 September
-87.06959,45.94852,9,09 September
-87.06985,45.9481,9,09 September
-86.96601,45.83945,9,09 September
-86.912,45.94297,9,09 September
-94.297112,35.334954,9,09 September
-78.84757,38.389537,9,09 September
-70.542953,41.919278,9,09 September
-101.962298,33.530354,10,10 October
-101.83875,33.526664,10,10 October
-87.539169,33.194817,10,10 October
-95.419512,29.042716,10,10 October
-78.898375,43.85359,10,10 October
-86.158552,34.205664,10,10 October
-95.419512,29.042716,10,10 October
-77.121026,38.919292,10,10 October
-101.961697,33.530103,10,10 October
-101.961697,33.528851,10,10 October
-97.391563,27.800033,10,10 October
-99.102966,19.257231,10,10 October
-97.462208,30.20553,10,10 October
-80.11594,43.928386,10,10 October
-74.0938,42.7155,10,10 October
-76.476135,42.453769,10,10 October
-76.476138,42.453771,10,10 October
-87.306681,37.247502,10,10 October
-73.144409,44.706038,10,10 October
-80.456098,42.576276,10,10 October
-97.580051,35.577894,10,10 October
-97.422958,30.371532,10,10 October
-80.452108,42.576683,10,10 October
-80.452141,42.576695,10,10 October
-97.520027,26.315592,10,10 October
-97.977709,29.572045,10,10 October
-96.547836,31.735584,10,10 October
-97.701645,26.164823,10,10 October
-54.3518,4.28467,10,10 October
-101.961869,33.52878,11,11 November
-101.961826,33.528887,11,11 November
-98.113982,30.198586,11,11 November
-99.149261,26.584498,11,11 November
-97.532993,30.347828,11,11 November
-101.962212,33.529388,11,11 November
-97.547127,30.350261,11,11 November
-98.114175,30.198646,11,11 November
-81.574801,28.366169,11,11 November
-97.222796,27.620323,11,11 November
-100.000689,29.604462,11,11 November
-98.375367,30.603563,11,11 November
-95.419511,29.042716,11,11 November
-97.336973,32.720708,11,11 November
-97.014771,32.310117,11,11 November
-95.419511,29.042716,11,11 November
-97.000127,32.657821,11,11 November
-97.935713,29.896067,11,11 November
-97.542722,30.255498,11,11 November
-100.204798,25.671342,11,11 November
-100.204803,25.671434,11,11 November
-97.047598,28.053237,11,11 November
-97.5366,30.233443,12,12 December
-95.419511,29.042716,12,12 December
-95.419511,29.042716,12,12 December
-97.801895,30.225537,12,12 December
-97.758602,30.417984,1,01 January
-95.419722,29.0425,1,01 January
-95.434386,29.033858,1,01 January
-97.758602,30.417984,2,02 February
-95.419722,29.0425,2,02 February
-96.777819,32.992337,2,02 February
-60.94153,14.4861,3,03 March
-95.419722,29.0425,4,04 April
-95.765534,29.806641,4,04 April
-97.325351,32.538967,5,05 May
-92.079545,30.62071,7,07 July
-97.015981,32.311645,7,07 July
-97.01597,32.311663,7,07 July
-97.015983,32.311688,7,07 July
-96.692081,32.85547,7,07 July
-86.70687,33.559012,8,08 August
-77.552537,37.65657,8,08 August
-86.790549,33.41161,8,08 August
-86.790549,33.41161,8,08 August
-86.790586,33.411628,8,08 August
-86.790586,33.411628,8,08 August
-86.790546,33.411638,8,08 August
-72.526846,43.132372,8,08 August
-86.701206,33.579709,8,08 August
-73.13012,44.7392,8,08 August
-70.857802,42.499958,8,08 August
-86.179825,32.343639,8,08 August
-76.694673,39.164859,8,08 August
-76.752228,39.187516,8,08 August
-76.742007,39.039695,8,08 August
-76.702807,39.150877,8,08 August
-86.790458,33.411611,8,08 August
-84.2008,39.667476,8,08 August
-97.758536,30.417972,8,08 August
-83.375151,33.776505,8,08 August
-64.618639,46.38926,8,08 August
-87.793647000000007,33.334841,8,08 August
-64.618636,46.389258,8,08 August
-64.618637,46.389257,8,08 August
-87.47029,33.264404999999996,8,08 August
-87.484405,33.262237,8,08 August
-87.792108,32.957693,8,08 August
