id,geometry,longitude,latitude
NA,"c(121.927086538908, 29.5465933125122)",121.92708653890752,29.546593312512236
NA,"c(121.549265474153, 30.8217394060582)",121.54926547415316,30.8217394060582
NA,"c(117.629371927327, 30.8689670391525)",117.62937192732669,30.868967039152494
NA,"c(118.243331157553, 29.4049104132294)",118.24333115755252,29.404910413229352
NA,"c(114.37066524382, 29.7355038448894)",114.37066524382034,29.735503844889415
NA,"c(113.851161279783, 27.6574879887404)",113.8511612797831,27.657487988740442
NA,"c(113.37888494884, 24.2098707728569)",113.37888494884015,24.209870772856917
NA,"c(113.331657315746, 22.8874970462167)",113.33165731574586,22.88749704621666
NA,"c(114.559575776198, 23.5486839095368)",114.55957577619752,23.548683909536788
NA,"c(114.984624474046, 24.3043260390455)",114.98462447404617,24.304326039045506
NA,"c(113.189974416463, 22.0373996505194)",113.18997441646297,22.03739965051935
NA,"c(110.4035440639, 22.4152207152737)",110.40354406389957,22.41522071527371
NA,"c(109.411763768919, 18.3064166360701)",109.41176376891937,18.306416636070054
NA,"c(109.506219035108, 24.2570984059512)",109.50621903510797,24.25709840595121
NA,"c(111.06473092722, 27.2796669239861)",111.0647309272197,27.279666923986085
NA,"c(108.845032171788, 28.4603577513435)",108.84503217178784,28.46035775134345
NA,"c(109.270080869637, 31.5773815355669)",109.2700808696365,31.577381535566914
NA,"c(106.67256104945, 26.7601629599488)",106.67256104945028,26.76016295994884
NA,"c(106.105829452319, 22.9819523124052)",106.10582945231874,22.981952312405248
NA,"c(103.272171466661, 25.3905616002143)",103.27217146666105,25.390561600214287
NA,"c(104.925138624961, 34.9777711183561)",104.92513862496136,34.977771118356145
NA,"c(105.539097855187, 29.1215446146636)",105.5390978551872,29.121544614663584
NA,"c(104.169496495453, 27.751943254929)",104.16949649545265,27.75194325492903
NA,"c(102.044253006209, 28.2714472189663)",102.04425300620937,28.271447218966273
NA,"c(104.736228092584, 30.1133249096438)",104.73622809258418,30.113324909643772
NA,"c(104.216724128547, 31.1995604708126)",104.21672412854694,31.199560470812557
NA,"c(101.571976675266, 24.9655129023656)",101.57197667526643,24.96551290236563
NA,"c(101.477521409078, 26.2406589959116)",101.47752140907784,26.240658995911595
